step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.011510,0.135298,0.000000,0.011235,0.141502,0.000000,0.207184,0.835307,0.000000
40,0.013,0.015921,0.221359,0.000000,0.015517,0.235510,0.000000,0.248757,1.308510,0.000000
60,0.0195,0.019156,0.277357,0.000000,0.018657,0.237200,0.000000,0.274239,1.602552,0.000000
80,0.026,0.022156,0.316213,0.000000,0.021636,0.308134,0.000000,0.291995,1.912637,0.000000
100,0.0325,0.024841,0.373920,0.000000,0.024335,0.342873,0.000000,0.311759,2.199110,0.000000
120,0.039,0.027312,0.418870,0.000000,0.026992,0.425674,0.000000,0.323149,2.823228,0.000000
140,0.0456,0.029544,0.470213,0.000000,0.028855,0.497929,0.000000,0.330179,3.166837,0.000000
160,0.0521,0.031248,0.472618,0.000000,0.030686,0.494223,0.000000,0.337544,3.602747,0.000000
180,0.0586,0.033086,0.469716,0.000000,0.032638,0.615139,0.000000,0.344786,3.859211,0.000000
200,0.0651,0.034832,0.485525,0.000000,0.033345,0.600153,0.000000,0.346642,3.836481,0.000000
220,0.0716,0.036695,0.531394,0.000000,0.035238,0.613000,0.000000,0.350616,3.545043,0.000000
240,0.0781,0.037849,0.584299,0.000000,0.036737,0.622301,0.000000,0.353574,3.604795,0.000000
260,0.0846,0.038899,0.580972,0.000000,0.038006,0.667570,0.000000,0.358105,3.906501,0.000000
280,0.0911,0.040105,0.616019,0.000000,0.039425,0.703695,0.000000,0.359160,4.219123,0.000000
300,0.0976,0.041355,0.646184,0.000000,0.041059,0.718142,0.000000,0.361437,4.289848,0.000000
320,0.1041,0.042131,0.676650,0.000000,0.042237,0.733699,0.000000,0.363169,4.515981,0.000000
340,0.1106,0.043313,0.712542,0.000000,0.043354,0.765199,0.000000,0.363167,4.555415,0.000000
360,0.1171,0.044108,0.699186,0.000000,0.044691,0.769830,0.000000,0.363585,4.667237,0.000000
380,0.1236,0.045290,0.693256,0.000000,0.045520,0.827247,0.000000,0.366937,5.185046,0.000000
400,0.1302,0.046201,0.744461,0.000000,0.046025,0.853098,0.000000,0.367699,5.206397,0.000000
420,0.1367,0.047318,0.750519,0.000000,0.047168,0.945841,0.000000,0.368484,5.040972,0.000000
440,0.1432,0.048597,0.799309,0.000000,0.048214,0.978315,0.000000,0.369755,5.277763,0.000000
460,0.1497,0.049758,0.840465,0.000000,0.049141,1.032097,0.000000,0.371934,5.149542,0.000000
480,0.1562,0.050716,0.845614,0.000000,0.049798,1.057249,0.000000,0.373895,5.358408,0.000000
500,0.1627,0.051938,0.932014,0.000000,0.050629,1.066955,0.000000,0.375493,5.500147,0.000000
520,0.1692,0.052988,0.951214,0.000000,0.051238,1.103232,0.000000,0.377127,5.418366,0.000000
540,0.1757,0.053377,0.930075,0.000000,0.052280,1.140099,0.000000,0.377192,5.330933,0.000000
560,0.1822,0.053781,0.902708,0.000000,0.053348,1.144350,0.000000,0.375860,5.242219,0.000000
580,0.1887,0.053983,0.907503,0.000000,0.054801,1.159436,0.000000,0.377895,5.382710,0.000000
600,0.1952,0.054813,0.978117,0.000000,0.055537,1.153471,0.000000,0.377394,5.686812,0.000000
620,0.2017,0.055758,0.978869,0.000000,0.056946,1.154168,0.000000,0.377013,5.972300,0.000000
640,0.2082,0.056478,0.978823,0.000000,0.057667,1.156857,0.000000,0.375049,6.055594,0.000000
660,0.2148,0.057079,0.974278,0.000000,0.058613,1.160078,0.000000,0.375393,5.928089,0.000000
680,0.2213,0.057849,0.965925,0.000000,0.059656,1.172077,0.000000,0.376701,5.956686,0.000000
700,0.2278,0.058727,0.969634,0.000000,0.060020,1.186107,0.000000,0.377648,6.072765,0.000000
720,0.2343,0.059612,0.978253,0.000000,0.061387,1.174460,0.000000,0.377953,6.223304,0.000000
740,0.2408,0.059946,1.001584,0.000000,0.062357,1.142058,0.000000,0.381100,6.566978,0.000000
760,0.2473,0.060449,1.002751,0.000000,0.063168,1.167104,0.000000,0.384053,6.680170,0.000000
780,0.2538,0.060970,1.053232,0.000000,0.063564,1.192014,0.000000,0.385700,6.788957,0.000000
800,0.2603,0.061682,1.141720,0.000000,0.064451,1.200471,0.000000,0.384633,6.946956,0.000000
820,0.2668,0.062475,1.230888,0.000000,0.065553,1.202316,0.000000,0.384169,6.745032,0.000000
840,0.2733,0.063224,1.235229,0.000000,0.066712,1.247702,0.000000,0.382619,6.848938,0.000000
860,0.2798,0.063269,1.233767,0.000000,0.067573,1.219021,0.000000,0.384724,7.048001,0.000000
880,0.2863,0.063196,1.261132,0.000000,0.068123,1.242719,0.000000,0.386727,7.383813,0.000000
900,0.2928,0.063995,1.220443,0.000000,0.068567,1.252950,0.000000,0.387818,7.654221,0.000000
920,0.2994,0.064510,1.172064,0.000000,0.068888,1.250689,0.000000,0.386791,7.483044,0.000000
940,0.3059,0.065355,1.160948,0.000000,0.069989,1.319555,0.000000,0.386904,7.612587,0.000000
960,0.3124,0.065932,1.180321,0.000000,0.070278,1.351171,0.000000,0.389078,7.817947,0.000000
980,0.3189,0.066414,1.241634,0.000000,0.070994,1.358319,0.000000,0.388050,7.771902,0.000000
1000,0.3254,0.066832,1.226252,0.000000,0.071604,1.421038,0.000000,0.389005,7.691780,0.000000
1020,0.3319,0.067044,1.217591,0.000000,0.072044,1.459723,0.000000,0.387251,7.724273,0.000000
1040,0.3384,0.067098,1.162575,0.000000,0.072292,1.468387,0.000000,0.389309,7.841487,0.000000
1060,0.3449,0.067740,1.144893,0.000000,0.072400,1.477452,0.000000,0.388932,8.005733,0.000000
1080,0.3514,0.068191,1.128989,0.000000,0.072402,1.443105,0.000000,0.389140,7.915795,0.000000
1100,0.3579,0.068345,1.187664,0.000000,0.072851,1.420709,0.000000,0.390701,7.792703,0.000000
1120,0.3644,0.068806,1.235873,0.000000,0.072985,1.432370,0.000000,0.389041,7.768481,0.000000
1140,0.3709,0.069734,1.263611,0.000000,0.072921,1.413503,0.000000,0.388976,7.782561,0.000000
1160,0.3775,0.069840,1.319137,0.000000,0.073454,1.387024,0.000000,0.389499,8.022614,0.000000
1180,0.384,0.070173,1.334414,0.000000,0.073968,1.380154,0.000000,0.388869,8.077167,0.000000
1200,0.3905,0.070846,1.319272,0.000000,0.074288,1.397932,0.000000,0.388622,7.985319,0.000000
1220,0.397,0.071733,1.331175,0.000000,0.075278,1.424908,0.000000,0.389844,8.093617,0.000000
1240,0.4035,0.071798,1.314553,0.000000,0.075899,1.451330,0.000000,0.388855,8.032828,0.000000
1260,0.41,0.071847,1.357067,0.000000,0.076291,1.502617,0.000000,0.391178,8.287133,0.000000
1280,0.4165,0.072945,1.370457,0.000000,0.076974,1.499752,0.000000,0.392693,8.457984,0.000000
1300,0.423,0.073762,1.366617,0.000000,0.078009,1.491132,0.000000,0.392877,8.312930,0.000000
1320,0.4295,0.073906,1.383476,0.000000,0.078818,1.480414,0.000000,0.393012,8.420508,0.000000
1340,0.436,0.074496,1.417328,0.000000,0.079192,1.497126,0.000000,0.393581,8.499330,0.000000
1360,0.4425,0.075381,1.455713,0.000000,0.080187,1.511308,0.000000,0.395899,8.421916,0.000000
1380,0.449,0.076369,1.448840,0.000000,0.081260,1.571854,0.000000,0.396726,8.584036,0.000000
1400,0.4555,0.077003,1.420598,0.000000,0.081676,1.575827,0.000000,0.395776,8.624356,0.000000
