step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.010122,0.148054,0.000000,0.010011,0.143205,0.000000,0.000000,0.000000,0.000000
40,0.013,0.013928,0.219517,0.000000,0.013516,0.208109,0.000000,0.000000,0.000000,0.000000
60,0.0195,0.017085,0.313854,0.000000,0.016721,0.309096,0.000000,0.000000,0.000000,0.000000
80,0.026,0.019511,0.350250,0.000000,0.019328,0.391866,0.000000,0.000000,0.000000,0.000000
100,0.0325,0.021747,0.382412,0.000000,0.021716,0.449469,0.000000,0.000000,0.000000,0.000000
120,0.039,0.023954,0.486079,0.000000,0.023865,0.439404,0.000000,0.000000,0.000000,0.000000
140,0.0456,0.026046,0.584829,0.000000,0.025867,0.472374,0.000000,0.000000,0.000000,0.000000
160,0.0521,0.027800,0.632185,0.000000,0.027446,0.504583,0.000000,0.000000,0.000000,0.000000
180,0.0586,0.029024,0.715406,0.000000,0.029223,0.500037,0.000000,0.000000,0.000000,0.000000
200,0.0651,0.030234,0.725592,0.000000,0.031292,0.533180,0.000000,0.000000,0.000000,0.000000
220,0.0716,0.031039,0.745856,0.000000,0.032901,0.701461,0.000000,0.000000,0.000000,0.000000
240,0.0781,0.032311,0.792700,0.000000,0.033832,0.777913,0.000000,0.000000,0.000000,0.000000
260,0.0846,0.033437,0.756025,0.000000,0.035365,0.772630,0.000000,0.000000,0.000000,0.000000
280,0.0911,0.034311,0.718501,0.000000,0.036332,0.749695,0.000000,0.000000,0.000000,0.000000
300,0.0976,0.035093,0.721044,0.000000,0.037291,0.729048,0.000000,0.000000,0.000000,0.000000
320,0.1041,0.035889,0.745179,0.000000,0.038270,0.743096,0.000000,0.000000,0.000000,0.000000
340,0.1106,0.036579,0.767128,0.000000,0.039039,0.762823,0.000000,0.000000,0.000000,0.000000
360,0.1171,0.037889,0.768472,0.000000,0.039619,0.785703,0.000000,0.000000,0.000000,0.000000
380,0.1236,0.038746,0.761875,0.000000,0.040595,0.767145,0.000000,0.000000,0.000000,0.000000
400,0.1302,0.039358,0.753606,0.000000,0.041715,0.771951,0.000000,0.000000,0.000000,0.000000
