step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197732,0.837515,0.000000
40,0.013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236203,1.311913,0.000000
60,0.0195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256987,1.812783,0.000000
80,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274656,1.814836,0.000000
100,0.0325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290115,1.922644,0.000000
120,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.298738,2.326146,0.000000
140,0.0456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.303115,2.571879,0.000000
160,0.0521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308087,2.869237,0.000000
180,0.0586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310134,3.129848,0.000000
200,0.0651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309526,3.464208,0.000000
220,0.0716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312878,3.703407,0.000000
240,0.0781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315297,3.632620,0.000000
260,0.0846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318276,3.825221,0.000000
280,0.0911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318837,4.110823,0.000000
300,0.0976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319909,4.253613,0.000000
320,0.1041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321045,4.417864,0.000000
340,0.1106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321906,4.459863,0.000000
360,0.1171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321404,4.470259,0.000000
380,0.1236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324251,4.671046,0.000000
400,0.1302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324108,4.891814,0.000000
420,0.1367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324633,5.035661,0.000000
440,0.1432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325140,5.170724,0.000000
460,0.1497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327915,5.229087,0.000000
480,0.1562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327220,5.386937,0.000000
500,0.1627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328609,5.416862,0.000000
520,0.1692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330337,5.700073,0.000000
540,0.1757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330317,5.908004,0.000000
560,0.1822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328443,5.824426,0.000000
580,0.1887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329486,5.885129,0.000000
600,0.1952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329216,6.045756,0.000000
620,0.2017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328646,6.230596,0.000000
640,0.2082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327666,6.219119,0.000000
660,0.2148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328983,6.123615,0.000000
680,0.2213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329384,6.223389,0.000000
700,0.2278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330104,6.389132,0.000000
720,0.2343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331112,6.399202,0.000000
740,0.2408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.332413,6.592157,0.000000
760,0.2473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334735,6.683761,0.000000
780,0.2538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337297,6.796422,0.000000
800,0.2603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336014,7.073155,0.000000
820,0.2668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336309,7.431629,0.000000
840,0.2733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335457,7.678228,0.000000
860,0.2798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335576,7.570492,0.000000
880,0.2863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336851,7.673658,0.000000
900,0.2928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338602,7.566467,0.000000
920,0.2994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339329,7.597178,0.000000
940,0.3059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340641,7.667515,0.000000
960,0.3124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341616,7.910388,0.000000
980,0.3189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339237,8.079759,0.000000
1000,0.3254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339798,8.011819,0.000000
1020,0.3319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338754,7.801429,0.000000
1040,0.3384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341655,8.049448,0.000000
1060,0.3449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340990,7.921625,0.000000
1080,0.3514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340403,7.706676,0.000000
1100,0.3579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340150,7.687772,0.000000
1120,0.3644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339849,8.123767,0.000000
1140,0.3709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339619,8.395913,0.000000
1160,0.3775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339839,8.624342,0.000000
1180,0.384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340377,8.601633,0.000000
1200,0.3905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341443,8.549247,0.000000
1220,0.397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342271,8.461671,0.000000
1240,0.4035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341722,8.201933,0.000000
1260,0.41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343635,8.492390,0.000000
1280,0.4165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342921,8.144100,0.000000
1300,0.423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343006,7.900705,0.000000
1320,0.4295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342512,7.925316,0.000000
1340,0.436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342376,8.136012,0.000000
1360,0.4425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343003,8.145699,0.000000
1380,0.449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343626,8.606057,0.000000
1400,0.4555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342634,8.415913,0.000000
1420,0.4621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341356,8.302294,0.000000
1440,0.4686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340708,8.243605,0.000000
1460,0.4751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340414,8.311689,0.000000
