step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
1,0.0003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049893,0.050000,0.000000
2,0.0007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072601,0.100043,0.000000
3,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089692,0.150152,0.000000
4,0.0013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105790,0.200338,0.000000
5,0.0016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119871,0.250140,0.000000
6,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132310,0.299852,0.000000
7,0.0023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143375,0.346103,0.000000
8,0.0026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153365,0.393705,0.000000
9,0.0029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.162473,0.438772,0.000000
10,0.0033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170748,0.477722,0.000000
11,0.0036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178317,0.524555,0.000000
12,0.0039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185203,0.574712,0.000000
13,0.0042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191497,0.625858,0.000000
14,0.0046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197251,0.677663,0.000000
15,0.0049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202519,0.730147,0.000000
16,0.0052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.207357,0.783407,0.000000
17,0.0055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211809,0.837359,0.000000
18,0.0059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.215915,0.892169,0.000000
19,0.0062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219667,0.947722,0.000000
20,0.0065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223130,1.003455,0.000000
21,0.0068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.226339,1.059693,0.000000
22,0.0072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229297,1.112476,0.000000
23,0.0075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.231982,1.155590,0.000000
24,0.0078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234499,1.200246,0.000000
25,0.0081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236872,1.247216,0.000000
26,0.0085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239106,1.292746,0.000000
27,0.0088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241210,1.337836,0.000000
28,0.0091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243144,1.379001,0.000000
29,0.0094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244943,1.417901,0.000000
30,0.0098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246647,1.440177,0.000000
31,0.0101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248259,1.467568,0.000000
32,0.0104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249777,1.497888,0.000000
33,0.0107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251202,1.527377,0.000000
34,0.0111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252549,1.554606,0.000000
35,0.0114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253833,1.582227,0.000000
36,0.0117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255050,1.609212,0.000000
37,0.012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256221,1.634628,0.000000
38,0.0124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257306,1.658027,0.000000
39,0.0127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258339,1.675417,0.000000
40,0.013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259345,1.691855,0.000000
41,0.0133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260269,1.700148,0.000000
42,0.0137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261165,1.738618,0.000000
43,0.014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262044,1.777590,0.000000
44,0.0143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262923,1.816675,0.000000
45,0.0146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263811,1.853397,0.000000
46,0.015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264702,1.890056,0.000000
47,0.0153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265605,1.926434,0.000000
48,0.0156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266500,1.955760,0.000000
49,0.0159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267409,1.980330,0.000000
50,0.0163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268306,2.011562,0.000000
51,0.0166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269192,2.045151,0.000000
52,0.0169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270094,2.078075,0.000000
