step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
1,0.0003,0.003473,0.016503,0.000000,0.003471,0.016343,0.000000,0.049895,0.050000,0.000000
2,0.0007,0.004517,0.024768,0.000000,0.004512,0.025176,0.000000,0.073169,0.100043,0.000000
3,0.001,0.005332,0.033097,0.000000,0.005337,0.033732,0.000000,0.090745,0.150164,0.000000
4,0.0013,0.006100,0.042115,0.000000,0.006085,0.041913,0.000000,0.106970,0.200368,0.000000
5,0.0016,0.006735,0.048299,0.000000,0.006725,0.050899,0.000000,0.120936,0.250785,0.000000
6,0.002,0.007285,0.056035,0.000000,0.007284,0.060329,0.000000,0.133208,0.300004,0.000000
7,0.0023,0.007772,0.064914,0.000000,0.007789,0.068585,0.000000,0.144306,0.344781,0.000000
8,0.0026,0.008217,0.072609,0.000000,0.008238,0.076718,0.000000,0.154249,0.394526,0.000000
9,0.0029,0.008641,0.079241,0.000000,0.008643,0.083767,0.000000,0.163286,0.438579,0.000000
10,0.0033,0.009025,0.086461,0.000000,0.009008,0.090800,0.000000,0.171555,0.479347,0.000000
11,0.0036,0.009378,0.094700,0.000000,0.009341,0.098158,0.000000,0.179145,0.516399,0.000000
12,0.0039,0.009706,0.102825,0.000000,0.009650,0.106324,0.000000,0.186079,0.561282,0.000000
13,0.0042,0.010011,0.110289,0.000000,0.009935,0.113307,0.000000,0.192446,0.605662,0.000000
14,0.0046,0.010298,0.114680,0.000000,0.010195,0.120239,0.000000,0.198267,0.651601,0.000000
15,0.0049,0.010563,0.120500,0.000000,0.010434,0.127340,0.000000,0.203614,0.695918,0.000000
16,0.0052,0.010800,0.127140,0.000000,0.010651,0.134652,0.000000,0.208519,0.739476,0.000000
17,0.0055,0.011013,0.132873,0.000000,0.010851,0.142155,0.000000,0.213000,0.780666,0.000000
18,0.0059,0.011208,0.138203,0.000000,0.011035,0.149077,0.000000,0.217127,0.816906,0.000000
19,0.0062,0.011386,0.143043,0.000000,0.011203,0.155241,0.000000,0.220910,0.849568,0.000000
20,0.0065,0.011546,0.147505,0.000000,0.011356,0.160945,0.000000,0.224383,0.878512,0.000000
21,0.0068,0.011692,0.151349,0.000000,0.011496,0.166118,0.000000,0.227565,0.916801,0.000000
22,0.0072,0.011825,0.154151,0.000000,0.011628,0.170921,0.000000,0.230477,0.955225,0.000000
23,0.0075,0.011942,0.156942,0.000000,0.011750,0.175123,0.000000,0.233136,0.992635,0.000000
24,0.0078,0.012052,0.159692,0.000000,0.011860,0.179480,0.000000,0.235615,1.029456,0.000000
25,0.0081,0.012152,0.162144,0.000000,0.011963,0.185150,0.000000,0.237877,1.068807,0.000000
26,0.0085,0.012245,0.164005,0.000000,0.012064,0.191254,0.000000,0.239950,1.108155,0.000000
27,0.0088,0.012330,0.166112,0.000000,0.012160,0.197971,0.000000,0.241857,1.149169,0.000000
28,0.0091,0.012408,0.169277,0.000000,0.012247,0.204226,0.000000,0.243631,1.190600,0.000000
29,0.0094,0.012481,0.172336,0.000000,0.012322,0.210921,0.000000,0.245288,1.234154,0.000000
30,0.0098,0.012551,0.175523,0.000000,0.012393,0.218453,0.000000,0.246811,1.279292,0.000000
31,0.0101,0.012618,0.180105,0.000000,0.012460,0.224790,0.000000,0.248241,1.324586,0.000000
32,0.0104,0.012684,0.184868,0.000000,0.012527,0.230378,0.000000,0.249569,1.372936,0.000000
33,0.0107,0.012745,0.189496,0.000000,0.012588,0.235966,0.000000,0.250799,1.421796,0.000000
34,0.0111,0.012807,0.192799,0.000000,0.012645,0.239229,0.000000,0.251965,1.473493,0.000000
35,0.0114,0.012862,0.197090,0.000000,0.012699,0.243663,0.000000,0.253040,1.527818,0.000000
36,0.0117,0.012915,0.201378,0.000000,0.012749,0.247987,0.000000,0.254056,1.585538,0.000000
37,0.012,0.012965,0.205634,0.000000,0.012800,0.251694,0.000000,0.255030,1.646041,0.000000
38,0.0124,0.013013,0.209655,0.000000,0.012847,0.254818,0.000000,0.255955,1.708252,0.000000
39,0.0127,0.013060,0.214245,0.000000,0.012893,0.258538,0.000000,0.256841,1.767835,0.000000
40,0.013,0.013099,0.219704,0.000000,0.012939,0.262363,0.000000,0.257704,1.830107,0.000000
41,0.0133,0.013139,0.225429,0.000000,0.012983,0.267473,0.000000,0.258543,1.875023,0.000000
42,0.0137,0.013178,0.229755,0.000000,0.013025,0.271376,0.000000,0.259333,1.896070,0.000000
43,0.014,0.013212,0.233701,0.000000,0.013065,0.274549,0.000000,0.260101,1.904775,0.000000
44,0.0143,0.013248,0.236487,0.000000,0.013109,0.276129,0.000000,0.260891,1.911092,0.000000
45,0.0146,0.013290,0.238884,0.000000,0.013155,0.277287,0.000000,0.261692,1.917944,0.000000
46,0.015,0.013327,0.240572,0.000000,0.013198,0.277504,0.000000,0.262455,1.915639,0.000000
47,0.0153,0.013365,0.241820,0.000000,0.013235,0.277660,0.000000,0.263192,1.899805,0.000000
48,0.0156,0.013398,0.243873,0.000000,0.013279,0.279611,0.000000,0.263897,1.883311,0.000000
49,0.0159,0.013429,0.248537,0.000000,0.013327,0.283614,0.000000,0.264585,1.866796,0.000000
50,0.0163,0.013463,0.257554,0.000000,0.013373,0.286779,0.000000,0.265285,1.847230,0.000000
51,0.0166,0.013493,0.266135,0.000000,0.013417,0.289036,0.000000,0.265976,1.862767,0.000000
52,0.0169,0.013520,0.274051,0.000000,0.013465,0.291150,0.000000,0.266651,1.929481,0.000000
53,0.0172,0.013545,0.280831,0.000000,0.013510,0.293458,0.000000,0.267333,1.997071,0.000000
54,0.0176,0.013576,0.287498,0.000000,0.013550,0.303966,0.000000,0.268010,2.068192,0.000000
55,0.0179,0.013608,0.294243,0.000000,0.013586,0.314673,0.000000,0.268664,2.115778,0.000000
56,0.0182,0.013645,0.301862,0.000000,0.013620,0.325078,0.000000,0.269265,2.153037,0.000000
57,0.0185,0.013675,0.308696,0.000000,0.013659,0.332639,0.000000,0.269846,2.188673,0.000000
58,0.0189,0.013701,0.314771,0.000000,0.013700,0.339616,0.000000,0.270420,2.227122,0.000000
59,0.0192,0.013719,0.318828,0.000000,0.013742,0.344520,0.000000,0.270999,2.250094,0.000000
60,0.0195,0.013738,0.322459,0.000000,0.013786,0.351123,0.000000,0.271564,2.300641,0.000000
61,0.0198,0.013757,0.326434,0.000000,0.013828,0.358919,0.000000,0.272111,2.332770,0.000000
62,0.0202,0.013775,0.330492,0.000000,0.013865,0.368002,0.000000,0.272619,2.348682,0.000000
63,0.0205,0.013796,0.334594,0.000000,0.013901,0.376798,0.000000,0.273094,2.365290,0.000000
64,0.0208,0.013817,0.337709,0.000000,0.013935,0.386039,0.000000,0.273535,2.387905,0.000000
65,0.0212,0.013840,0.342358,0.000000,0.013962,0.394786,0.000000,0.273959,2.412762,0.000000
66,0.0215,0.013866,0.346833,0.000000,0.013988,0.401789,0.000000,0.274395,2.443607,0.000000
67,0.0218,0.013891,0.350698,0.000000,0.014011,0.407894,0.000000,0.274794,2.468739,0.000000
