step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.001595,0.006825,0.000000,0.001555,0.007889,0.000000,0.000000,0.000000,0.000000
40,0.013,0.001592,0.006811,0.000000,0.001552,0.007873,0.000000,0.000000,0.000000,0.000000
60,0.0195,0.001589,0.006798,0.000000,0.001549,0.007857,0.000000,0.000000,0.000000,0.000000
80,0.026,0.001586,0.006784,0.000000,0.001546,0.007842,0.000000,0.000000,0.000000,0.000000
100,0.0325,0.001582,0.006771,0.000000,0.001543,0.007826,0.000000,0.000000,0.000000,0.000000
120,0.039,0.001579,0.006757,0.000000,0.001540,0.007810,0.000000,0.000000,0.000000,0.000000
140,0.0456,0.001576,0.006744,0.000000,0.001537,0.007795,0.000000,0.000000,0.000000,0.000000
160,0.0521,0.001573,0.006730,0.000000,0.001534,0.007779,0.000000,0.000000,0.000000,0.000000
180,0.0586,0.001570,0.006717,0.000000,0.001530,0.007764,0.000000,0.000000,0.000000,0.000000
200,0.0651,0.001567,0.006703,0.000000,0.001527,0.007748,0.000000,0.000000,0.000000,0.000000
220,0.0716,0.001563,0.006690,0.000000,0.001524,0.007733,0.000000,0.000000,0.000000,0.000000
240,0.0781,0.001560,0.006677,0.000000,0.001521,0.007717,0.000000,0.000000,0.000000,0.000000
260,0.0846,0.001557,0.006663,0.000000,0.001518,0.007702,0.000000,0.000000,0.000000,0.000000
280,0.0911,0.001554,0.006650,0.000000,0.001515,0.007686,0.000000,0.000000,0.000000,0.000000
300,0.0976,0.001551,0.006637,0.000000,0.001512,0.007671,0.000000,0.000000,0.000000,0.000000
320,0.1041,0.001548,0.006623,0.000000,0.001509,0.007656,0.000000,0.000000,0.000000,0.000000
340,0.1106,0.001545,0.006610,0.000000,0.001506,0.007640,0.000000,0.000000,0.000000,0.000000
360,0.1171,0.001542,0.006597,0.000000,0.001503,0.007625,0.000000,0.000000,0.000000,0.000000
380,0.1236,0.001539,0.006584,0.000000,0.001500,0.007610,0.000000,0.000000,0.000000,0.000000
400,0.1302,0.001536,0.006571,0.000000,0.001497,0.007595,0.000000,0.000000,0.000000,0.000000
420,0.1367,0.001533,0.006557,0.000000,0.001494,0.007580,0.000000,0.000000,0.000000,0.000000
440,0.1432,0.001529,0.006544,0.000000,0.001491,0.007564,0.000000,0.000000,0.000000,0.000000
460,0.1497,0.001526,0.006531,0.000000,0.001488,0.007549,0.000000,0.000000,0.000000,0.000000
480,0.1562,0.001523,0.006518,0.000000,0.001485,0.007534,0.000000,0.000000,0.000000,0.000000
500,0.1627,0.001520,0.006505,0.000000,0.001482,0.007519,0.000000,0.000000,0.000000,0.000000
520,0.1692,0.001517,0.006492,0.000000,0.001479,0.007504,0.000000,0.000000,0.000000,0.000000
540,0.1757,0.001514,0.006479,0.000000,0.001476,0.007489,0.000000,0.000000,0.000000,0.000000
560,0.1822,0.001511,0.006466,0.000000,0.001473,0.007474,0.000000,0.000000,0.000000,0.000000
580,0.1887,0.001508,0.006453,0.000000,0.001470,0.007459,0.000000,0.000000,0.000000,0.000000
600,0.1952,0.001505,0.006440,0.000000,0.001468,0.007444,0.000000,0.000000,0.000000,0.000000
620,0.2017,0.001502,0.006428,0.000000,0.001465,0.007429,0.000000,0.000000,0.000000,0.000000
640,0.2082,0.001499,0.006415,0.000000,0.001462,0.007415,0.000000,0.000000,0.000000,0.000000
660,0.2148,0.001496,0.006402,0.000000,0.001459,0.007400,0.000000,0.000000,0.000000,0.000000
680,0.2213,0.001493,0.006389,0.000000,0.001456,0.007385,0.000000,0.000000,0.000000,0.000000
700,0.2278,0.001490,0.006376,0.000000,0.001453,0.007370,0.000000,0.000000,0.000000,0.000000
720,0.2343,0.001487,0.006364,0.000000,0.001450,0.007356,0.000000,0.000000,0.000000,0.000000
740,0.2408,0.001484,0.006351,0.000000,0.001447,0.007341,0.000000,0.000000,0.000000,0.000000
760,0.2473,0.001481,0.006338,0.000000,0.001444,0.007326,0.000000,0.000000,0.000000,0.000000
780,0.2538,0.001478,0.006326,0.000000,0.001441,0.007312,0.000000,0.000000,0.000000,0.000000
800,0.2603,0.001475,0.006313,0.000000,0.001438,0.007297,0.000000,0.000000,0.000000,0.000000
820,0.2668,0.001472,0.006300,0.000000,0.001436,0.007282,0.000000,0.000000,0.000000,0.000000
840,0.2733,0.001469,0.006288,0.000000,0.001433,0.007268,0.000000,0.000000,0.000000,0.000000
860,0.2798,0.001467,0.006275,0.000000,0.001430,0.007253,0.000000,0.000000,0.000000,0.000000
880,0.2863,0.001464,0.006263,0.000000,0.001427,0.007239,0.000000,0.000000,0.000000,0.000000
900,0.2928,0.001461,0.006250,0.000000,0.001424,0.007224,0.000000,0.000000,0.000000,0.000000
920,0.2994,0.001458,0.006238,0.000000,0.001421,0.007210,0.000000,0.000000,0.000000,0.000000
940,0.3059,0.001455,0.006225,0.000000,0.001418,0.007195,0.000000,0.000000,0.000000,0.000000
960,0.3124,0.001452,0.006213,0.000000,0.001416,0.007181,0.000000,0.000000,0.000000,0.000000
980,0.3189,0.001449,0.006200,0.000000,0.001413,0.007167,0.000000,0.000000,0.000000,0.000000
1000,0.3254,0.001446,0.006188,0.000000,0.001410,0.007152,0.000000,0.000000,0.000000,0.000000
1020,0.3319,0.001443,0.006176,0.000000,0.001407,0.007138,0.000000,0.000000,0.000000,0.000000
1040,0.3384,0.001440,0.006163,0.000000,0.001404,0.007124,0.000000,0.000000,0.000000,0.000000
1060,0.3449,0.001437,0.006151,0.000000,0.001402,0.007110,0.000000,0.000000,0.000000,0.000000
1080,0.3514,0.001435,0.006139,0.000000,0.001399,0.007095,0.000000,0.000000,0.000000,0.000000
1100,0.3579,0.001432,0.006126,0.000000,0.001396,0.007081,0.000000,0.000000,0.000000,0.000000
1120,0.3644,0.001429,0.006114,0.000000,0.001393,0.007067,0.000000,0.000000,0.000000,0.000000
1140,0.3709,0.001426,0.006102,0.000000,0.001390,0.007053,0.000000,0.000000,0.000000,0.000000
1160,0.3775,0.001423,0.006090,0.000000,0.001388,0.007039,0.000000,0.000000,0.000000,0.000000
1180,0.384,0.001420,0.006078,0.000000,0.001385,0.007025,0.000000,0.000000,0.000000,0.000000
1200,0.3905,0.001418,0.006065,0.000000,0.001382,0.007011,0.000000,0.000000,0.000000,0.000000
1220,0.397,0.001415,0.006053,0.000000,0.001379,0.006997,0.000000,0.000000,0.000000,0.000000
1240,0.4035,0.001412,0.006041,0.000000,0.001377,0.006983,0.000000,0.000000,0.000000,0.000000
1260,0.41,0.001409,0.006029,0.000000,0.001374,0.006969,0.000000,0.000000,0.000000,0.000000
1280,0.4165,0.001406,0.006017,0.000000,0.001371,0.006955,0.000000,0.000000,0.000000,0.000000
1300,0.423,0.001403,0.006005,0.000000,0.001368,0.006941,0.000000,0.000000,0.000000,0.000000
1320,0.4295,0.001401,0.005993,0.000000,0.001366,0.006927,0.000000,0.000000,0.000000,0.000000
1340,0.436,0.001398,0.005981,0.000000,0.001363,0.006913,0.000000,0.000000,0.000000,0.000000
1360,0.4425,0.001395,0.005969,0.000000,0.001360,0.006900,0.000000,0.000000,0.000000,0.000000
1380,0.449,0.001392,0.005957,0.000000,0.001357,0.006886,0.000000,0.000000,0.000000,0.000000
1400,0.4555,0.001389,0.005945,0.000000,0.001355,0.006872,0.000000,0.000000,0.000000,0.000000
1420,0.4621,0.001387,0.005933,0.000000,0.001352,0.006858,0.000000,0.000000,0.000000,0.000000
1440,0.4686,0.001384,0.005922,0.000000,0.001349,0.006845,0.000000,0.000000,0.000000,0.000000
1460,0.4751,0.001381,0.005910,0.000000,0.001347,0.006831,0.000000,0.000000,0.000000,0.000000
1480,0.4816,0.001378,0.005898,0.000000,0.001344,0.006817,0.000000,0.000000,0.000000,0.000000
1500,0.4881,0.001376,0.005886,0.000000,0.001341,0.006804,0.000000,0.000000,0.000000,0.000000
1520,0.4946,0.001373,0.005874,0.000000,0.001339,0.006790,0.000000,0.000000,0.000000,0.000000
1540,0.5011,0.001370,0.005863,0.000000,0.001336,0.006776,0.000000,0.000000,0.000000,0.000000
