step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.013,0.023668,1.034670,0.000000,0.019275,0.918416,0.000000,0.019242,0.198769,0.000000
60,0.0195,0.036827,1.881745,0.000000,0.024074,1.571338,0.000000,0.031573,0.381790,0.000000
80,0.026,0.042761,2.562319,0.000000,0.025781,1.941913,0.000000,0.042271,0.613250,0.000000
100,0.0325,0.047928,3.041161,0.000000,0.027351,2.209501,0.000000,0.051455,0.834026,0.000000
120,0.039,0.054431,3.366587,0.000000,0.028338,2.299654,0.000000,0.060045,1.010787,0.000000
140,0.0456,0.057558,3.571465,0.000000,0.028583,2.414255,0.000000,0.068174,1.211217,0.000000
160,0.0521,0.059541,3.884570,0.000000,0.029946,2.615905,0.000000,0.075986,1.369740,0.000000
180,0.0586,0.060207,3.927275,0.000000,0.030600,2.751282,0.000000,0.082140,1.506784,0.000000
200,0.0651,0.061517,4.041089,0.000000,0.030264,2.964977,0.000000,0.087289,1.651726,0.000000
220,0.0716,0.062276,4.325091,0.000000,0.029581,3.133664,0.000000,0.092208,1.750649,0.000000
240,0.0781,0.059686,4.267543,0.000000,0.030118,3.105207,0.000000,0.096480,1.875156,0.000000
260,0.0846,0.060068,4.326883,0.000000,0.031032,3.360789,0.000000,0.100179,2.019529,0.000000
280,0.0911,0.059388,4.519818,0.000000,0.029919,3.326542,0.000000,0.102876,2.143580,0.000000
300,0.0976,0.059418,4.814916,0.000000,0.029749,3.344044,0.000000,0.105924,2.254382,0.000000
320,0.1041,0.059534,5.022985,0.000000,0.029923,3.542063,0.000000,0.108870,2.371919,0.000000
340,0.1106,0.060421,5.160755,0.000000,0.029765,3.675125,0.000000,0.111773,2.486047,0.000000
360,0.1171,0.060681,5.028469,0.000000,0.030231,3.657978,0.000000,0.114697,2.596413,0.000000
380,0.1236,0.059588,4.961691,0.000000,0.030657,3.564458,0.000000,0.117487,2.701202,0.000000
400,0.1302,0.058584,5.010001,0.000000,0.030115,3.871562,0.000000,0.119834,2.800350,0.000000
420,0.1367,0.059686,5.211541,0.000000,0.029515,3.847813,0.000000,0.122446,2.934377,0.000000
440,0.1432,0.059320,5.310844,0.000000,0.030116,4.002901,0.000000,0.124913,3.085948,0.000000
460,0.1497,0.059815,5.469084,0.000000,0.029823,4.131338,0.000000,0.126870,3.229961,0.000000
480,0.1562,0.059512,5.555102,0.000000,0.030868,4.372503,0.000000,0.128715,3.362421,0.000000
500,0.1627,0.059758,5.722798,0.000000,0.030024,4.219185,0.000000,0.130484,3.471464,0.000000
520,0.1692,0.060243,5.734416,0.000000,0.029640,4.075486,0.000000,0.132044,3.546005,0.000000
540,0.1757,0.059673,6.001976,0.000000,0.029806,4.271822,0.000000,0.133623,3.654876,0.000000
560,0.1822,0.060204,6.361646,0.000000,0.030125,4.357162,0.000000,0.135328,3.747306,0.000000
580,0.1887,0.059986,6.495140,0.000000,0.029677,4.258972,0.000000,0.136949,3.836564,0.000000
600,0.1952,0.060228,6.436802,0.000000,0.029395,4.184931,0.000000,0.139080,3.962917,0.000000
620,0.2017,0.061052,6.256823,0.000000,0.029256,4.259984,0.000000,0.140297,4.080672,0.000000
640,0.2082,0.060701,6.255698,0.000000,0.028377,4.231074,0.000000,0.141597,4.153151,0.000000
660,0.2148,0.059989,6.337794,0.000000,0.029642,4.538946,0.000000,0.142885,4.223173,0.000000
680,0.2213,0.059047,6.202749,0.000000,0.030997,4.686891,0.000000,0.143760,4.269685,0.000000
700,0.2278,0.060572,6.341670,0.000000,0.030428,4.690276,0.000000,0.144600,4.347014,0.000000
720,0.2343,0.061597,6.430086,0.000000,0.029458,4.796384,0.000000,0.145266,4.395710,0.000000
740,0.2408,0.062311,6.607576,0.000000,0.030602,4.713146,0.000000,0.145951,4.500255,0.000000
760,0.2473,0.061014,6.777433,0.000000,0.030672,4.671637,0.000000,0.147105,4.570942,0.000000
780,0.2538,0.062204,6.944752,0.000000,0.030696,4.403477,0.000000,0.149023,4.639391,0.000000
800,0.2603,0.061941,7.072520,0.000000,0.030703,4.583141,0.000000,0.150443,4.715271,0.000000
820,0.2668,0.061138,7.176295,0.000000,0.030029,4.675073,0.000000,0.151797,4.781640,0.000000
840,0.2733,0.061041,7.302486,0.000000,0.030328,4.731255,0.000000,0.152208,4.854453,0.000000
860,0.2798,0.061905,7.501812,0.000000,0.030654,4.715799,0.000000,0.152571,4.878180,0.000000
