step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.011462,0.149320,0.000000,0.011110,0.140013,0.000000,0.207342,0.868081,0.000000
40,0.013,0.015840,0.247765,0.000000,0.015584,0.219928,0.000000,0.249770,1.282756,0.000000
60,0.0195,0.018791,0.270573,0.000000,0.019252,0.247956,0.000000,0.274571,1.631257,0.000000
80,0.026,0.021935,0.441699,0.000000,0.022080,0.371180,0.000000,0.292786,1.959459,0.000000
100,0.0325,0.024835,0.481483,0.000000,0.024646,0.402244,0.000000,0.310213,2.151721,0.000000
120,0.039,0.027821,0.481144,0.000000,0.026783,0.446287,0.000000,0.321388,2.461890,0.000000
140,0.0456,0.029999,0.504994,0.000000,0.028953,0.446566,0.000000,0.329363,2.990316,0.000000
160,0.0521,0.031681,0.511397,0.000000,0.031152,0.446060,0.000000,0.336273,3.184988,0.000000
180,0.0586,0.033400,0.534651,0.000000,0.032782,0.544442,0.000000,0.341375,3.657167,0.000000
200,0.0651,0.034682,0.570315,0.000000,0.033889,0.598489,0.000000,0.342891,3.624382,0.000000
220,0.0716,0.036653,0.582922,0.000000,0.035255,0.615200,0.000000,0.349592,3.684617,0.000000
240,0.0781,0.038716,0.624115,0.000000,0.036755,0.622620,0.000000,0.353101,3.887135,0.000000
260,0.0846,0.040512,0.621267,0.000000,0.038343,0.670950,0.000000,0.358436,4.112470,0.000000
280,0.0911,0.041883,0.654302,0.000000,0.039806,0.695081,0.000000,0.359372,4.290585,0.000000
300,0.0976,0.043403,0.717013,0.000000,0.041100,0.750940,0.000000,0.360879,4.474246,0.000000
320,0.1041,0.044656,0.680545,0.000000,0.042957,0.782182,0.000000,0.362726,4.466428,0.000000
340,0.1106,0.045963,0.763494,0.000000,0.044147,0.754185,0.000000,0.364708,4.655578,0.000000
360,0.1171,0.047244,0.833099,0.000000,0.044865,0.757841,0.000000,0.367093,5.095132,0.000000
380,0.1236,0.048508,0.900240,0.000000,0.045239,0.778521,0.000000,0.372132,5.288551,0.000000
400,0.1302,0.049555,0.941865,0.000000,0.046191,0.766554,0.000000,0.372825,5.650345,0.000000
420,0.1367,0.050593,0.956905,0.000000,0.046792,0.858600,0.000000,0.373163,5.605290,0.000000
440,0.1432,0.052038,0.928603,0.000000,0.047776,0.927110,0.000000,0.373967,5.781123,0.000000
460,0.1497,0.053434,0.936733,0.000000,0.048884,0.903630,0.000000,0.377206,6.009608,0.000000
480,0.1562,0.054383,0.902278,0.000000,0.049796,0.910922,0.000000,0.378486,6.176045,0.000000
500,0.1627,0.055316,0.908882,0.000000,0.050716,0.933149,0.000000,0.378438,6.188066,0.000000
520,0.1692,0.056103,1.048512,0.000000,0.051709,0.983216,0.000000,0.378096,6.259934,0.000000
540,0.1757,0.056516,1.163027,0.000000,0.052159,1.064411,0.000000,0.378041,6.348695,0.000000
560,0.1822,0.057029,1.164711,0.000000,0.052650,1.017933,0.000000,0.375641,6.024550,0.000000
580,0.1887,0.057648,1.106655,0.000000,0.053511,1.022418,0.000000,0.377484,6.024452,0.000000
600,0.1952,0.057886,1.117756,0.000000,0.053928,1.086072,0.000000,0.378364,6.134245,0.000000
620,0.2017,0.058337,1.288221,0.000000,0.054603,1.121317,0.000000,0.376990,6.248690,0.000000
640,0.2082,0.058838,1.301519,0.000000,0.054809,1.127273,0.000000,0.376316,6.473255,0.000000
660,0.2148,0.059561,1.188390,0.000000,0.055541,1.150662,0.000000,0.377461,6.574523,0.000000
680,0.2213,0.060474,1.190065,0.000000,0.056128,1.156215,0.000000,0.378202,6.537703,0.000000
700,0.2278,0.061386,1.249579,0.000000,0.056428,1.152249,0.000000,0.379118,6.787239,0.000000
720,0.2343,0.062000,1.277452,0.000000,0.057706,1.195505,0.000000,0.378349,6.524900,0.000000
740,0.2408,0.062486,1.270528,0.000000,0.059065,1.214565,0.000000,0.381167,6.279590,0.000000
760,0.2473,0.063235,1.232925,0.000000,0.059964,1.214570,0.000000,0.384773,6.580371,0.000000
780,0.2538,0.063821,1.256710,0.000000,0.060775,1.200254,0.000000,0.388326,6.797317,0.000000
800,0.2603,0.064569,1.248776,0.000000,0.061699,1.160387,0.000000,0.386020,7.022273,0.000000
820,0.2668,0.064837,1.240078,0.000000,0.062331,1.156497,0.000000,0.387682,7.176878,0.000000
840,0.2733,0.065961,1.234505,0.000000,0.063010,1.157318,0.000000,0.388069,6.976906,0.000000
860,0.2798,0.066786,1.275558,0.000000,0.064107,1.177767,0.000000,0.388855,6.722664,0.000000
880,0.2863,0.067796,1.232855,0.000000,0.064691,1.202690,0.000000,0.389464,6.799714,0.000000
900,0.2928,0.067961,1.182632,0.000000,0.064912,1.257485,0.000000,0.389960,6.756478,0.000000
920,0.2994,0.068698,1.218417,0.000000,0.065673,1.254959,0.000000,0.389022,6.628022,0.000000
940,0.3059,0.069496,1.276418,0.000000,0.066394,1.245479,0.000000,0.391773,6.822828,0.000000
960,0.3124,0.070017,1.378836,0.000000,0.066872,1.304402,0.000000,0.393906,6.708628,0.000000
980,0.3189,0.070650,1.454496,0.000000,0.067555,1.278209,0.000000,0.392515,6.674355,0.000000
1000,0.3254,0.071408,1.487949,0.000000,0.068380,1.276848,0.000000,0.392816,6.864135,0.000000
1020,0.3319,0.072000,1.538760,0.000000,0.068526,1.299646,0.000000,0.390569,6.950735,0.000000
1040,0.3384,0.072446,1.564252,0.000000,0.069222,1.326167,0.000000,0.392661,6.881668,0.000000
1060,0.3449,0.073195,1.595388,0.000000,0.069843,1.334222,0.000000,0.392190,6.675920,0.000000
1080,0.3514,0.073635,1.605970,0.000000,0.071031,1.321923,0.000000,0.392859,6.853332,0.000000
1100,0.3579,0.074041,1.565374,0.000000,0.071910,1.353264,0.000000,0.394719,7.033437,0.000000
1120,0.3644,0.074403,1.570564,0.000000,0.072311,1.338247,0.000000,0.392759,6.955502,0.000000
1140,0.3709,0.074652,1.569321,0.000000,0.072957,1.310403,0.000000,0.390722,7.090922,0.000000
1160,0.3775,0.075412,1.586698,0.000000,0.074035,1.386977,0.000000,0.392422,7.047697,0.000000
1180,0.384,0.076123,1.631286,0.000000,0.074665,1.429155,0.000000,0.391952,7.114114,0.000000
1200,0.3905,0.076243,1.637833,0.000000,0.074654,1.450820,0.000000,0.390945,7.208068,0.000000
1220,0.397,0.076553,1.667573,0.000000,0.075261,1.457428,0.000000,0.391789,7.358967,0.000000
1240,0.4035,0.076693,1.720623,0.000000,0.075863,1.394341,0.000000,0.389855,7.440990,0.000000
1260,0.41,0.077069,1.689932,0.000000,0.076138,1.419105,0.000000,0.390515,7.370442,0.000000
