step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
10,0.0033,0.008005,0.078566,0.000000,0.007855,0.077179,0.000000,0.158332,0.497712,0.000000
20,0.0065,0.011298,0.146726,0.000000,0.011172,0.142298,0.000000,0.207204,0.845060,0.000000
30,0.0098,0.013562,0.190551,0.000000,0.013470,0.163587,0.000000,0.233383,1.122464,0.000000
40,0.013,0.015630,0.216721,0.000000,0.015366,0.206958,0.000000,0.250119,1.259833,0.000000
50,0.0163,0.017493,0.249088,0.000000,0.017383,0.235469,0.000000,0.263450,1.430776,0.000000
60,0.0195,0.019050,0.276605,0.000000,0.018983,0.280374,0.000000,0.274292,1.502633,0.000000
70,0.0228,0.020503,0.321511,0.000000,0.020491,0.318216,0.000000,0.283117,1.763449,0.000000
80,0.026,0.021852,0.341283,0.000000,0.022174,0.337116,0.000000,0.292436,1.908822,0.000000
90,0.0293,0.023042,0.347999,0.000000,0.023142,0.389625,0.000000,0.301178,2.004577,0.000000
100,0.0325,0.024340,0.389318,0.000000,0.024178,0.419438,0.000000,0.309965,2.181658,0.000000
