step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
10,0.0033,0.007899,0.079156,0.000000,0.007870,0.077413,0.000000,0.158423,0.499594,0.000000
20,0.0065,0.010986,0.134090,0.000000,0.011172,0.147605,0.000000,0.207027,0.857536,0.000000
30,0.0098,0.013465,0.176307,0.000000,0.013540,0.181469,0.000000,0.233491,1.153943,0.000000
40,0.013,0.015495,0.214101,0.000000,0.015628,0.219923,0.000000,0.250214,1.275861,0.000000
50,0.0163,0.017585,0.252826,0.000000,0.017080,0.214588,0.000000,0.263133,1.462003,0.000000
60,0.0195,0.019323,0.303009,0.000000,0.018421,0.234720,0.000000,0.273121,1.624974,0.000000
70,0.0228,0.020881,0.329543,0.000000,0.020260,0.324036,0.000000,0.282340,1.986591,0.000000
80,0.026,0.022151,0.332841,0.000000,0.021739,0.388710,0.000000,0.291945,2.039679,0.000000
90,0.0293,0.023492,0.340934,0.000000,0.022759,0.426904,0.000000,0.300990,1.921860,0.000000
100,0.0325,0.024749,0.367243,0.000000,0.024325,0.461908,0.000000,0.310251,2.034289,0.000000
